ioc,weight,ioc_class
#BlackNotDemocrat,5,left_voter_suppression
#JussieSmollett,3,usa_race_relations
#2A,1,right_social_issues
#NRA,1,right_social_issues
#BuildTheWall,1,right_social_issues
#BorderCrisis,1,right_social_issues
#LiberalismIsAMentalDisorder,3,discredit_left
#DemocratsHateAmerica,3,discredit_left
#LockHerUp,3,discredit_left
#Benghazi,3,discredit_left
#Brexit,2,brexit
#Venezuela,3,venezuela_influence
#FoxNews,1,right_media
#tcot,1,right_media
#OANN,1,right_media
#TCOT,1,right_media
#Hannity,1,right_media
#GiletsJaunes,3,europe_influence
#Taheri_Movement,1,right_social_issues
#RestartMIGA,1,right_social_issues
#ProLife,1,right_social_issues
#AbortionIsMurder,1,right_social_issues
#MAGA,2,promote_trump
#LockThemAllUp,3,discredit_usa_institutions
#Treason,3,discredit_usa_institutions
#Democrat,1,democrat_nonspecific
#AOC,1,democrat_nonspecific
#IlhanOmar,1,democrat_nonspecific
#Obama,1,democrat_nonspecific
#TermLimits,2,usa_influence_nonspecific
#cdnpoli,2,canada_influence
#auspol,2,australia_influence
#WalkAway,5,left_voter_suppression
#WalkAwayFromDemocrats,5,left_voter_suppression
#walkaway,5,left_voter_suppression
#VoteRedToSaveAmerica,2,right_voter_encouragement
#VoteRed,2,right_voter_encouragement
#LetsFlyMI,3,support_republican_campaign
#WWG1WGA,5,radical_conspiracy
#QAnon,5,radical_conspiracy
#Qanon,5,radical_conspiracy
#PatriotsAwakened,5,radical_conspiracy
#BLEXIT,5,radical_conspiracy
#WakeUpAmerica,5,radical_conspiracy
#DeepState,5,radical_conspiracy
#qanon,5,radical_conspiracy
#Spygate,5,radical_conspiracy
#SpyGate,5,radical_conspiracy
#Q,5,radical_conspiracy
#GreatAwakening,5,radical_conspiracy
#WWG1WGAWORLDWIDE,5,radical_conspiracy
#TheGreatAwakening,5,radical_conspiracy
#QANON,5,radical_conspiracy
#QArmy,5,radical_conspiracy
#RazorTrain,2,propagandist_tools
#LulusCaboose,2,propagandist_tools
#TrumpTrain,2,propagandist_tools
#Cody45,2,propagandist_tools
#AAG,2,propagandist_tools
#MAGAwagon,2,propagandist_tools
#ConnectingPatriotsTogether,2,propagandist_tools
#MegaMAGAFollow,2,propagandist_tools
#222MAGA,2,propagandist_tools
#TEAMSTALLION,2,propagandist_tools
#ClydesRides,2,propagandist_tools
#LauriesLoveBoatOfAmericans,2,propagandist_tools
#Topbuzz,2,propagandist_tools
#FakeNews,3,discredit_media
#VoxAdpocalypse,3,discredit_media
#FakeNewsMedia,3,discredit_media
#MSM,3,discredit_media
#fakenews,3,discredit_media
#TDS,3,discredit_media
#WitchHunt,3,discredit_media
#TrumpDerangementSyndrome,3,discredit_media
#TrudeauMustGo,2,canada_influence
#Hennen4Ohio2020,3,support_republican_campaign
#BuildThatWall,1,right_social_issues
#IllegalAliens,1,right_social_issues
#ccot,1,christian_right
#CCOT,1,christian_right
#JoeChina,3,discredit_left
#BribinBiden,3,discredit_left
 #FloppyJoe,3,discredit_left
#LiberalismIsAMentalDisease,3,discredit_left
#LiberalLogic,3,discredit_left
#NervousNancy,3,discredit_left
#lilbulli,3,discredit_left
#ObamaGate,3,discredit_left
#CrookedHillary,3,discredit_left
#TommyRobinson,2,brexit
#Resist,2,attack_trump
#Parler,5,radical_platform_migration
#TheDilleyShow,1,right_media
#FreeJamesWoods,1,right_media
#IngrahamAngle,1,right_media
#Tucker,1,right_media
#ChooseLife,1,right_social_issues
#TinyLivesAtStake,1,right_social_issues
#DefundPP,1,right_social_issues
#prolife,1,right_social_issues
#MAGA2KAG,2,promote_trump
#DJTrumplicans,2,promote_trump
#MAGA.,2,promote_trump
#MAGA!,2,promote_trump
#Maga,2,promote_trump
#BestPresidentEver,2,promote_trump
#PrayForTrump,2,promote_trump
#PresidentTrump,2,promote_trump
#MauiMAGA,2,promote_trump
#TRUMP2020Landside,2,promote_trump
#JusticeIsComing,3,discredit_usa_institutions
#StopTheSteal,3,discredit_usa_institutions
#FreeAssange,3,discredit_usa_institutions
#InvestigateTheInvestigators,3,discredit_usa_institutions
#RussiaHoax,3,discredit_usa_institutions
#ConfirmKavanaugh,2,usa_influence_nonspecific
#ConfirmKavanaughNow,2,usa_influence_nonspecific
#Democrats,2,usa_influence_nonspecific
#democrats,2,usa_influence_nonspecific
#MuellerReport,2,usa_influence_nonspecific
#DemocraticSocialism,2,usa_influence_nonspecific
#NancyPelosi,2,usa_influence_nonspecific
#TeaParty,2,usa_influence_nonspecific
#Pelosi,2,usa_influence_nonspecific
#GreenNewDeal,2,usa_influence_nonspecific
#JoeBiden,2,usa_influence_nonspecific
#NeonNettle,5,malicious_media
#PPC2019,2,canada_influence
#ClearFlynnNow,2,defend_mike_flynn
#AllInForGenFlynnFriday,2,defend_mike_flynn
#Dems,2,democrat_nonspecific
#PatriotsEffectingChange,2,right_voter_encouragement
#PaintOurCountryRed,2,right_voter_encouragement
#RedAwaken2020,5,radical_conspiracy
#PatriotsFight,5,radical_conspiracy
#DarkToLight,5,radical_conspiracy
#TheStorm,5,radical_conspiracy
#QAlert,5,radical_conspiracy
#PatriotsUnite,5,radical_conspiracy
#MsMariesMAGA,2,propagandist_tools
#MsPunksPeeps,2,propagandist_tools
#RoseDC11,2,propagandist_tools
#𝓟𝓪𝓽𝓻𝓲𝓸𝓽𝓔𝔁𝓹𝓻𝓮𝓼𝓼,2,propagandist_tools
#ARIELSARMY,2,propagandist_tools
#Cali_Express,2,propagandist_tools
#Tcot,2,propagandist_tools
#PhantomTrumpTrain,2,propagandist_tools
#MagaRollerCoaster,2,propagandist_tools
#StopTheBias,3,discredit_media
#FakeNewsCNN,3,discredit_media
#TheFive,3,discredit_media
#FAKENEWS,3,discredit_media
#BackTheBlue,3,usa_race_relations
#BlueLivesMatter,3,usa_race_relations
#JussieSmollettHoax,3,usa_race_relations
#Blexit,3,usa_race_relations
#CandaceOwensShow,3,usa_race_relations
#2ndAmendment,1,right_social_issues
#BuildTheDamnWall,1,right_social_issues
#FinishTheWall,1,right_social_issues
#CloseTheBorder,1,right_social_issues
#VoterFraud,1,right_social_issues
#BuildTheWallNow,1,right_social_issues
#JobsNotMobs,1,right_social_issues
#FundTheWall,1,right_social_issues
#MyHouseMyAmerica,1,right_social_issues
#MexicoCavesAfterTariffThreat,1,right_social_issues
#IllegalImmigration,1,right_social_issues
#BorderSecurity,1,right_social_issues
#SecureTheBorder,1,right_social_issues
#CreepyUncleJoe,3,discredit_left
#Biden2020,3,discredit_left
#Antifa,3,discredit_left
#HateHoax,3,discredit_left
#DemocratsAreCorrupt,3,discredit_left
#SchumerShutdown,3,discredit_left
#LiberalHypocrisy,3,discredit_left
#Hillary,3,discredit_left
#ClintonBodyCount,3,discredit_left
#ClintonEmails,3,discredit_left
#HillaryClinton,3,discredit_left
#BREXIT,2,brexit
#PeterboroughByElection,2,brexit
#LockHimUp,2,attack_trump
#ImpeachTrumpNow,2,attack_trump
#ImpeachTrump,2,attack_trump
#TheResistance,2,attack_trump
#Resistance,2,attack_trump
#NeverTrump,2,attack_trump
#HANNITY:,1,right_media
#HANNITY,1,right_media
#DefundPlannedParenthood,1,right_social_issues
#EndInfanticide,1,right_social_issues
#BornAliveAct.,1,right_social_issues
#KeepAmericaGreat,2,promote_trump
#TRUMP,2,promote_trump
#trump,2,promote_trump
#maga2020,2,promote_trump
#AmericaFirst-,2,promote_trump
#TREASON,3,discredit_usa_institutions
#LockThemUp,3,discredit_usa_institutions
#WheresRuth,3,discredit_usa_institutions
#muellerdossier,3,discredit_usa_institutions
#FakeMeToo,1,right_social_issues
#abortion,2,usa_influence_nonspecific
#Liberals,2,usa_influence_nonspecific
#2020Election,2,usa_influence_nonspecific
#IGReport,2,usa_influence_nonspecific
#ExonerateGenFlynn,2,defend_mike_flynn
#WalkAwayFromDemocratSocialists,5,left_voter_suppression
#Walkaway,5,left_voter_suppression
#Assange,5,russian_media
#JulianAssange,5,russian_media
#RedNationRising,2,right_voter_encouragement
#SethRich,5,radical_conspiracy
#SaveTheChildren,5,radical_conspiracy
#PainIsComing,5,radical_conspiracy
#TrustThePlan,5,radical_conspiracy
#DigitalSoldiers,5,radical_conspiracy
#usfreedomarmy,5,radical_conspiracy
#Patriots!,5,radical_conspiracy
#EUElections2019,3,europe_influence
#YellowVests,3,europe_influence
#VoteDemsOut,3,support_republican_campaign
#TXSen,3,support_republican_campaign
#sappermartin,2,propagandist_tools
#HarleyQuinnExpress,2,propagandist_tools
#TheKat,2,propagandist_tools
#BobsTrumpTrain,2,propagandist_tools
#RedFriday,2,propagandist_tools
#MelsMAGAMobile,2,propagandist_tools
#STONECOLDLOSER,2,propagandist_tools
#JordansViewExpress,2,propagandist_tools
#COSProject,2,alt_right_media
#restart_opposition,5,malicious_media
#FakeNews.,3,discredit_media
#BuildTheWallAndCrimeWillFall,1,right_social_issues
#VoterID,1,right_social_issues
#BuildtheWall,1,right_social_issues
#BorderPatrol,1,right_social_issues
#DemocratsAreDestroyingAmerica,3,discredit_left
#CreepyJoeBiden,3,discredit_left
#CreepyJoe,3,discredit_left
#Demonrats,3,discredit_left
#SocialismKills,3,discredit_left
#CriminalCongress2019,3,discredit_left
#SocialismSucks,3,discredit_left
#ThesePeopleAreSick,3,discredit_left
#EnemyOfThePeople,3,discredit_left
#Trump2020,2,promote_trump
#Trump,2,promote_trump
#KAG,2,promote_trump
#maga,2,promote_trump
#AmericaFirst,2,promote_trump
#KAG2020,2,promote_trump
#Trump2020Landslide,2,promote_trump
#TRUMP2020,2,promote_trump
#MAGA2020,2,promote_trump
#ExtremeMAGAShoutOut,2,promote_trump
#DrainTheSwamp,2,promote_trump
#TrumpRally,2,promote_trump
#KAG45,2,promote_trump
#MAGAveteran,2,promote_trump
#TornadoTrump,2,promote_trump
#NoCollusion,2,promote_trump
#HappyBirthdayMrPresident,2,promote_trump
#AmericaFIRST,2,promote_trump
#DrainTheDeepState,2,promote_trump
#MakeAmericaGreatAgain,2,promote_trump
#SupportOurPresident,2,promote_trump
#Trumpville,2,promote_trump
#DrainTheDeepStateSwamp,2,promote_trump
#MAGA45,2,promote_trump
"#MAGA,",2,promote_trump
#NoCollusionNoObstruction,2,promote_trump
#PromisesMadePromisesKept,2,promote_trump
#trump2020,2,promote_trump
#DECLAS,5,radical_conspiracy
#TWGRP,5,radical_conspiracy
#PatriotsUnited,5,radical_conspiracy
#ReleaseTheMemo,5,radical_conspiracy
#RedAwaken,5,radical_conspiracy
#WAKEUPAMERICA,5,radical_conspiracy
#NXIVM,5,radical_conspiracy
